impact,id,city,country,class,modelled_score,confidence,fame_pctl,country_coverage,country_rank,queued
3.377,gem:maidstone,Maidstone,United Kingdom,city,7.2,modelled,0.805,0.417,52,2026-09-03
3.368,gem:huddersfield,Huddersfield,United Kingdom,city,7.0,modelled,0.826,0.417,72,2026-09-03
3.361,gem:cheltenham,Cheltenham,United Kingdom,city,6.5,modelled,0.888,0.417,136,2026-09-03
3.351,gem:lido-di-castel-fusano,Lido di Castel Fusano,Italy,village,7.9,modelled,0.806,0.474,42,2026-09-03
3.34,gem:caernarfon,Caernarfon,United Kingdom,town,7.8,modelled,0.735,0.417,12,2026-09-03
3.33,gem:royal-tunbridge-wells,Royal Tunbridge Wells,United Kingdom,city,7.0,modelled,0.817,0.417,72,2026-09-03
3.329,gem:flensburg,Flensburg,Germany,city,6.0,modelled,0.798,0.305,185,2026-09-03
3.318,gem:livorno,Livorno,Italy,city,7.6,modelled,0.829,0.474,82,2026-09-03
3.316,gem:varese,Varese,Italy,city,7.7,modelled,0.818,0.474,73,2026-09-03
3.315,gem:margate,Margate,United Kingdom,city,7.0,modelled,0.813,0.417,72,2026-09-03
3.307,gem:bayonne,Bayonne,France,town,7.1,modelled,0.847,0.45,107,2026-09-03
3.3,gem:gloucester,Gloucester,United Kingdom,city,6.4,modelled,0.885,0.417,155,2026-09-03
3.293,gem:castel-gandolfo,Castel Gandolfo,Italy,village,7.9,modelled,0.792,0.474,42,2026-09-03
3.291,gem:emden,Emden,Germany,city,7.3,modelled,0.649,0.305,53,2026-09-03
3.263,gem:cirencester,Cirencester,United Kingdom,town,6.6,modelled,0.849,0.417,128,2026-09-03
3.255,gem:saint-remy-de-provence,Saint-Rémy-de-Provence,France,town,7.8,modelled,0.759,0.45,30,2026-09-03
3.255,gem:heilbronn,Heilbronn,Germany,city,6.2,modelled,0.755,0.305,155,2026-09-03
3.25,gem:alcala-de-henares,Alcalá de Henares,Spain,city,8.4,modelled,0.695,0.443,9,2026-09-03
3.249,gem:scarborough,Scarborough,United Kingdom,city,6.6,modelled,0.845,0.417,128,2026-09-03
3.245,gem:folkestone,Folkestone,United Kingdom,city,7.0,modelled,0.796,0.417,72,2026-09-03
3.236,gem:buxton,Buxton,United Kingdom,town,7.1,modelled,0.782,0.417,62,2026-09-03
3.236,gem:luneburg,Lüneburg,Germany,city,6.2,modelled,0.751,0.305,155,2026-09-03
3.235,gem:wismar,Wismar,Germany,town,7.0,modelled,0.665,0.305,77,2026-09-03
3.219,gem:sodertalje,Södertälje,Sweden,city,7.3,modelled,0.63,0.3,6,2026-09-03
3.216,gem:sanremo,Sanremo,Italy,town,7.4,modelled,0.825,0.474,114,2026-09-03
3.215,gem:la-spezia,La Spezia,Italy,city,7.7,modelled,0.793,0.474,73,2026-09-03
3.21,gem:wakefield,Wakefield,United Kingdom,city,6.7,modelled,0.822,0.417,109,2026-09-03
3.209,gem:aylesbury,Aylesbury,United Kingdom,city,6.8,modelled,0.81,0.417,100,2026-09-03
3.198,gem:paderborn,Paderborn,Germany,city,6.1,modelled,0.754,0.305,171,2026-09-03
3.192,gem:osnabruck,Osnabrück,Germany,city,5.8,modelled,0.792,0.305,205,2026-09-03
3.185,gem:bourges,Bourges,France,city,8.4,modelled,0.689,0.45,5,2026-09-03
